这是第1篇评论     2个人物
诸葛亮 1
赵云 1
鲁肃 1
孙权 1
这是第32篇评论     2个人物
刘备 1
孔明 1
这是第33篇评论     2个人物
华佗 9
曹操 1
这是第34篇评论     1个人物
刘巴 1
这是第35篇评论     7个人物
诸葛亮 6
曹操 3
马谡 1
刘禅 3
刘备 2
曹丕 1
孔明 2
这是第36篇评论     47个人物
太祖 31
伯奢 2
青州兵 1
孙策 1
蹋顿 2
张辽 4
曹公 13
成宜 1
李堪 1
于禁 1
徐晃 1
张华 1
左慈 1
华佗 1
曹瞒 1
士燮 1
马腾 1
子丹 1
荀彧 1
魏明帝 1
曹爽 1
齐王 1
陈留王 1
刘备 3
陆逊 2
公瑾 6
周瑜 2
瑜 1
吕范 1
凌统 1
鲁肃 2
孙权 1
孟德 4
子敬 6
刘琮 1
玄德 1
周公 1
关羽 1
曹孟德 1
虞翻 1
诸葛亮 1
张温 1
骆统 1
顾承 1
诸葛恪 1
费祎 1
来敏 1
这是第37篇评论     2个人物
虞翻 1
关羽 2
这是第38篇评论     17个人物
孙策 20
吴夫人 1
孙权 12
吕范 6
周瑜 15
大乔 1
小乔 1
曹操 2
陈登 1
大小乔 1
蒋干 1
张昭 3
刘备 2
马超 1
甘宁 3
黄祖 1
孙坚 1
这是第39篇评论     0个人物
这是第40篇评论     0个人物
这是第41篇评论     9个人物
魏文长 1
刘备 3
汉中王 1
文长 1
魏延 5
诸葛亮 1
诸葛 2
杨仪 2
马岱 1
这是第42篇评论     3个人物
关羽 1
张飞 1
万人敌 1
这是第43篇评论     10个人物
曹操 26
曹孟德 1
王允 1
刘岱 2
鲍信 3
陶谦 1
孙策 1
周瑜 1
鲁肃 1
太祖 7
这是第44篇评论     4个人物
曹操 1
孙仲谋 1
陈寿 1
孙权 2
这是第45篇评论     4个人物
诸葛亮 2
周瑜 1
郭嘉 1
荀彧 1
这是第46篇评论     9个人物
青州兵 18
曹操 13
公孙瓒 2
鲍信 1
刘岱 1
钟毓 1
太祖 4
于禁 4
臧霸 2
这是第47篇评论     1个人物
陈寿 2
这是第48篇评论     0个人物
这是第49篇评论     1个人物
陈寿 1
这是第50篇评论     3个人物
诸葛亮 3
管仲 1
乐毅 1
这是第51篇评论     0个人物
这是第52篇评论     1个人物
诸葛亮 3
这是第53篇评论     1个人物
陈寿 1
这是第54篇评论     1个人物
陈寿 2
这是第55篇评论     2个人物
陈寿 2
曹操 2
这是第56篇评论     1个人物
诸葛亮 2
这是第57篇评论     1个人物
陈寿 3
这是第58篇评论     13个人物
曹操 5
吕蒙 1
荀彧 1
司马懿 1
管宁 4
孙权 6
孙策 2
曹丕 1
孙仲谋 1
周瑜 3
张昭 1
诸葛亮 1
姜维 1
这是第59篇评论     2个人物
裴松之 4
陈寿 1
这是第60篇评论     2个人物
小乔 1
公瑾 1
这是第61篇评论     11个人物
曹操 11
荀彧 1
刘备 5
孔明 1
郭嘉 9
孙权 1
周瑜 1
孙策 1
阿瞒 2
公瑾 1
诸葛 1
这是第62篇评论     35个人物
孙坚 24
文台 1
韩遂 1
乌程侯 2
孙策 131
陆逊 1
奉先 1
刘表 6
周瑜 13
曹操 17
黄祖 8
甘宁 1
伯符 2
孙权 5
仲谋 1
孙翊 1
孙匡 2
吕范 2
孙河 1
刘备 1
孙贲 4
严白虎 7
吴夫人 1
严舆 4
程普 2
孔融 1
陶谦 6
陈登 7
孙辅 1
刘晔 4
韩晞 2
黄盖 1
于吉 4
陈寿 1
裴松之 1
这是第63篇评论     0个人物
这是第64篇评论     7个人物
孙权 19
曹操 21
董昭 6
关羽 22
曹仁 2
太祖 2
徐晃 1
这是第65篇评论     28个人物
程昱 2
刘备 1
刘虞 2
崔琰 1
孔融 1
曹植 1
鲍勋 1
钟繇 1
曹爽 2
诸葛亮 1
孟起 1
向朗 1
谯周 1
姜维 1
司马昭 1
张昭 1
曹公 1
张鲁 1
鲁肃 1
周瑜 1
孙登 1
孙和 1
孙权 1
吕岱 1
陆凯 1
贺齐 1
全琮 1
是仪 2
这是第66篇评论     3个人物
诸葛孔明 1
曹操 2
关羽 1
这是第67篇评论     6个人物
陈寿 2
诸葛孔明 2
曹操 3
诸葛亮 4
管仲 1
乐毅 1
这是第68篇评论     1个人物
孔明 1
这是第69篇评论     7个人物
吕伯奢 9
曹操 12
陈寿 5
司马懿 3
夫人 1
曹丕 4
裴松之 2
这是第70篇评论     11个人物
曹操 2
曹丕 2
刘备 1
刘禅 1
赵子龙 1
诸葛亮 4
马谡 4
王平 1
诸葛孔明 1
马良 1
张郃 1
这是第71篇评论     10个人物
刘备 1
关羽 1
张飞 1
万人敌 1
刘禅 1
诸葛孔明 1
曹操 1
孙坚 1
周瑜 1
公瑾 1
这是第72篇评论     3个人物
夏侯渊 1
张裕 1
孙策 1
这是第73篇评论     10个人物
西凉人 2
董贼 2
王允 1
飞将 1
张燕 1
曹操 5
刘备 2
三姓家奴 1
陈登 1
奉先 1
这是第74篇评论     6个人物
裴松之 1
诸葛亮 9
诸葛 10
管仲 1
乐毅 1
周公 1
这是第75篇评论     4个人物
韩遂 1
曹操 8
司马懿 1
曹瞒 2
这是第76篇评论     1个人物
裴松之 1
这是第77篇评论     2个人物
张温 1
桓灵二帝 1
这是第78篇评论     12个人物
诸葛 1
曹操 10
刘备 8
司马懿 2
皇叔 2
刘虞 1
刘焉 1
刘表 2
孙权 1
刘璋 1
公孙瓒 1
陶谦 1
这是第79篇评论     4个人物
陈寿 11
钟离牧 6
滕胤 1
大皇帝 1
这是第80篇评论     13个人物
钟会 51
陈寿 13
刘备 2
吕思勉 1
曹爽 1
高贵乡公 3
诸葛诞 1
诸葛 1
邓艾 8
司马懿 1
司马昭 3
姜维 2
刘禅 1
这是第81篇评论     27个人物
陈寿 5
荀彧 6
祢衡 1
文若 1
曹操 5
曹植 1
太祖 1
崔琰 3
何晏 2
孙策 2
孙权 7
陆逊 2
刘备 1
吕范 1
滕胤 1
朱据 1
诸葛瑾 1
诸葛亮 3
诸葛恪 1
赵云 1
马超 1
云长 1
管宁 1
太史慈 1
程昱 1
公孙瓒 1
刘表 1
这是第82篇评论     5个人物
陈思王 1
曹植 3
曹彰 1
魏明帝 1
曹子建 1
这是第83篇评论     2个人物
邓艾 1
钟会 1
这是第84篇评论     55个人物
姜维 258
徐庶 1
刘禅 19
钟会 96
邓艾 12
司马昭 20
关羽 3
张翼 1
蒋琬 3
蒋斌 1
刘璿 1
诸葛亮 62
陈寿 7
马遵 1
郭淮 1
天水太守 2
马谡 2
马超 5
彭羕 1
伏波将军 1
马腾 1
刘备 11
马良 1
张裔 1
姜伯约 2
郤正 3
司马懿 5
诸葛 3
诸葛诞 24
魏延 1
曹奂 1
陈留王 1
曹操 2
曹公 1
张飞 1
裴松之 5
夏侯玄 23
贾充 2
贾逵 1
赵俨 3
钟毓 1
傅嘏 2
蒋琬费祎 3
费祎 4
谯周 6
黄皓 4
董允 1
郝昭 4
薛综 1
曹爽 2
许仪 1
诸葛绪 1
钟繇 2
青州兵 1
太祖 1
这是第85篇评论     16个人物
